유형,유통사,rank_col,브랜드(원본),영어상품명,판정,판정근거,기존작업여부,hs_code,confidence,reason,evidence_url,product_identity_note,status,db_verified
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),10,폼페이안,Pompeian Robust Extra Virgin Olive Oil - 16 fl oz,,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),14,폼페이안,Pompeian Robust Extra Virgin Olive Oil - 32 fl oz,,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),26,폼페이안,Pompeian Robust Extra Virgin Olive Oil - 101 fl oz,,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),33,폼페이안,Pompeian Robust Extra Virgin Olive Oil - 68 fl oz,,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,샘스클럽  ·  (상위 40개 · PB 제외),3,폼페이안,"Pompeian Robust Squeeze Extra Virgin Olive Oil, 33.8 oz.",,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),19,폼페이안(NB),"Pompeian Smooth Organic Extra Virgin Olive Oil - 68 fl oz (2 L) First Cold Pressed Olive Oil for Cooking - Smooth Taste for Sauteing, Stir-Frying, and Baking - Value Size",,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),30,폼페이안,"Pompeian Organic Smooth Extra Virgin Olive Oil Cooking Spray (Aluminum Canister), 5 fl oz, 1 Count",,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),6,폼페이안(NB),"Pompeian USDA Certified Organic Extra Virgin Olive Oil Non-Stick Cooking Spray, No Propellants, 5 Fl Oz",,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),21,폼페이안(NB),Pompeian Light Taste Olive Oil - 32 Fl Oz - Olive Oil for High Heat Cooking - Light Flavor for Baking and Sauteing - High Smoke Point,,,new_from_live_db_scan,1509.90-0000,high,라이트/마일드 정제 올리브유(엑스트라버진 아님): 그 밖의 올리브유(기타),관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),36,폼페이안(NB),Pompeian Mild Taste Olive Oil - 68 fl oz (2 L) Olive Oil for High Heat Cooking - Mild Flavor for Baking and Sauteing - High Smoke Point - Value Size,,,new_from_live_db_scan,1509.90-0000,high,라이트/마일드 정제 올리브유(엑스트라버진 아님): 그 밖의 올리브유(기타),관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,샘스클럽  ·  (상위 40개 · PB 제외),1,폼페이안,"Pompeian Extra Smooth Extra Virgin Olive Oil, 68 fl. oz.",,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),3,베르톨리,"Bertolli Organic Extra Virgin Olive Oil, Rich Taste, First Cold Pressed, Contains Polyphenols, 25.4 fl oz",O,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),16,베르톨리,"Bertolli Organic Extra Virgin Olive Oil Spray, Rich Taste",O,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),36,베르톨리,"Bertolli Organic Extra Virgin Olive Oil, Rich Taste, First Cold Pressed, Contains Polyphenols, 25.4 fl oz",O,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),5,베르톨리(NB),"Bertolli Extra Virgin Olive Oil, 17 oz",O,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),4,베르톨리,"Bertolli Extra Virgin Olive Oil, Rich Taste, First Cold Pressed, Contains Polyphenols, 16.9 fl oz",O,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),19,베르톨리,"Bertolli Extra Virgin Olive Oil, Rich Taste, First Cold Pressed, Contains Polyphenols, 50.7 fl oz",O,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),22,베르톨리,"Bertolli Extra Virgin Olive Oil, Rich Taste, First Cold Pressed, Contains Polyphenols, 25.4 fl oz",O,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),39,베르톨리,"Bertolli Extra Virgin Olive Oil, Rich Taste, First Cold Pressed, Contains Polyphenols, 16.9 fl oz",O,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,샘스클럽  ·  (상위 40개 · PB 제외),2,베르톨리,"Bertolli Extra Virgin Olive Oil, 67.6 fl. oz.",O,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,샘스클럽  ·  (상위 40개 · PB 제외),4,베르톨리,"Bertolli Extra Virgin Olive Oil, 50.7 fl. oz.",O,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,이온몰  ·  (상위 40개 · PB 제외),21,베르톨리(NB),ベルトーリ エキストラバージンオリーブオイル 456g,O,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,이온몰  ·  (상위 40개 · PB 제외),23,베르톨리(NB),Bertolli Extra Virgin Olive Oil 1 liter,O,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),11,베르톨리,"Bertolli Dress & Drizz Extra Virgin Olive Oil, Rich Taste, Contains Polyphenols, Squeeze Bottle, 15.5 fl oz",O,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),6,테라델리사,"Terra Delyssa Extra Virgin Olive Oil, 34 fl. Oz",X,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),23,테라델리사,"Terra Delyssa Extra Virgin Olive Oil, 17 fl. oz., Glass",X,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),18,테라델리사,"Terra Delyssa Organic Extra Virgin Olive Oil, 34 fl. oz. Glass",X,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),12,젬,"GEM Extra Virgin Olive Oil for Seasoning and Finishing, 8.5 fl oz",,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),13,필리포베리오,Filippo Berio Extra Virgin Olive Oil 25.3 fl oz,O,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),20,필리포베리오,Filippo Berio Extra Virgin Olive Oil 16.9 fl oz,O,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,샘스클럽  ·  (상위 40개 · PB 제외),9,필리포베리오,"Filippo Berio Extra Virgin Olive Oil, 50.7 fl. oz.",O,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,샘스클럽  ·  (상위 40개 · PB 제외),11,필리포베리오,"Filippo Berio Extra Virgin Olive Oil, 67.6 oz.",O,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,이온몰  ·  (상위 40개 · PB 제외),31,필리포 베리오(NB),Filippo Berio Extra Virgin Olive Oil 1 l,O,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),22,이베리아(NB),"Iberia Premium Blend, Sunflower Oil & Extra Virgin Olive Oil, High Heat Frying, 68 Fl Oz",X,,new_from_live_db_scan,1517.90-9000,high,해바라기유+올리브유 혼합물: 그 밖의 식용 조제유지(기타),관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),17,Iberia Premium,Iberia Premium Blend Sunflower Oil & Extra Virgin Olive Oil 51 fl oz,X,,new_from_live_db_scan,1517.90-9000,high,해바라기유+올리브유 혼합물: 그 밖의 식용 조제유지(기타),관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),21,코브람 에스테이트,"Cobram Estate Classic Flavor 100% California Extra Virgin Olive Oil, 12.7 fl oz Bottle – First Cold Pressed, Easy-Pour Cooking Oil",,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),20,캘리포니아(NB),"California Olive Ranch Everyday Extra Virgin Olive Oil, 25.4 oz",,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),24,캘리포니아 올리브 랜치,California Olive Ranch Global Blend Extra Virgin Olive Oil 16.9 fl oz,,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),34,캘리포니아 올리브 랜치,California Olive Ranch Extra Virgin Global Blend Olive Oil 25.4 fl oz,,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,샘스클럽  ·  (상위 40개 · PB 제외),5,캘리포니아 올리브 랜치,"California Olive Ranch Extra Virgin Olive Oil, 33.8 fl. oz.",,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),25,캘리포니아 올리브 랜치,California Olive Ranch 100% California Medium Extra Virgin Olive Oil 16.9 fl oz,,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),27,콜라비타,"Colavita Premium Selection Extra Virgin Olive Oil, 34 fl oz",X,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),32,콜라비타,"Colavita Premium Selection Extra Virgin Olive Oil, 25.5 fl oz",X,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,이온몰  ·  (상위 40개 · PB 제외),22,콜라비타(NB),Colavita Extra Virgin Olive Oil 250 ml,X,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,이온몰  ·  (상위 40개 · PB 제외),30,콜라비타(NB),Colavita Balanced Flavor Extra Virgin Olive Oil 1 liter,X,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,이온몰  ·  (상위 40개 · PB 제외),32,콜라비타(NB),Colavita 100% Premium Italian Extra Virgin Olive Oil 1 liter,X,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),12,라 투랑젤(NB),"La Tourangelle, Organic Extra Virgin Olive Oil, Cold-Pressed EVOO from Spain, 16.9 Fl Oz – Spanish Olive Oil with Polyphenols for Cooking, Drizzling, Marinades, and Dipping, Rich Flavor",X,,new_from_live_db_scan,1509.20-0000,high,La Tourangelle 유기농 엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),29,라 투랑젤,"La Tourangelle Organic Extra Virgin Olive Oil, 25.4 fl oz (750 ml)",X,,new_from_live_db_scan,1509.20-0000,high,La Tourangelle 유기농 엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),2,그라자(NB),"Graza Sizzle Extra Virgin Olive Oil, Cooking Oil - High Polyphenol Peak Harvest EVOO Cooking Oil in a Squeeze Bottle - Single Origin Olive Oils from Spain - 25.3 Fl Oz (750ml)",,,new_from_live_db_scan,1509.20-0000,high,Graza Sizzle 엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),15,그라자(NB),"Graza Sizzle Extra Virgin Olive Oil, Cooking Oil - High Polyphenol Peak Harvest EVOO Cooking Oil in a Squeeze Bottle - Single Farm Olives from Spain - 25.3 Fl Oz (750ml) Refill Can",,,new_from_live_db_scan,1509.20-0000,high,Graza Sizzle 엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),29,그라자(NB),"Graza Sizzle Extra Virgin Olive Oil Spray, Cooking Oil, 5 Fl Oz | High Polyphenol Peak Harvest EVOO Cooking Oil in a Spray Bottle - Single Origin Olive Oils from Spain",,,new_from_live_db_scan,1509.20-0000,high,Graza Sizzle 엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,월마트  ·  (상위 40개 · PB 제외),31,Graza Sizzle,"Graza Sizzle Extra Virgin Olive Oil Squeeze Bottle for Cooking, 500ml",,,new_from_live_db_scan,1509.20-0000,high,Graza Sizzle 엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),4,그라자(NB),"Graza Drizzle Extra Virgin Olive Oil, Finishing Oil - High Polyphenol Early Harvest EVOO Finishing Oil in a Squeeze Bottle - Single Origin Olive Oils from Spain - 16.9 Fl Oz (500ml)",,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,샘스클럽  ·  (상위 40개 · PB 제외),12,Graza Extra,"Graza Extra Virgin Olive Oil, Sizzle and Drizzle, 2 pk.",,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),1,아틀라스(NB),"Atlas Organic Extra Virgin Olive Oil, Moroccan, High Polyphenol, 1 L | Cold Pressed EVOO With High Smoke Point, Trusted By Award-Winning Chefs, One Family Farm, Polyphenol-Rich & Smooth Finish",X,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),11,아틀라스(NB),"Atlas Organic Extra Virgin Olive Oil, Moroccan, High Polyphenol, 3 L Tin | Cold Pressed EVOO With High Smoke Point, Trusted By Award-Winning Chefs, One Family Farm, Polyphenol-Rich & Smooth Finish",X,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),7,데저트 미라클(NB),"Desert Miracle Organic Extra Virgin Olive Oil, High Polyphenol, 17 fl oz | Gourmet Moroccan EVOO, First Cold Pressed Olive Oil Extra Virgin, Polyphenol-Rich, Flavor Trusted By Award-Winning Chefs",,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),9,건드리 MD®(NB),"Gundry MD® Organic Extra Virgin Polyphenol-Rich Moroccan Olive Oil | Robust & Peppery Flavor, Cold Pressed, Wellness Supplement, USDA Organic, Best Results when Consumed as Supplement Shot",,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),10,올리비 플러스(NB),"OLIVIE PLUS 30X Organic High Polyphenol Extra Virgin Olive Oil, 250ml | Ultra-High Hydroxytyrosol, Polyphenol Rich 1250 mg/kg, Research-Backed Moroccan Cold Pressed EVOO, Kosher, Premium Finish",X,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),13,파르타나(NB),Partanna Robust Extra Virgin Olive Oil - Premium 100% Castelvetrano Oil - High Polyphenol - First Cold Pressed - Early Harvest in Sicily - Award Winning Italian EVOO -Monovarietal -101 fl oz (3 L) Tin,,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),14,P.J. 맥카시 KABOS 2025/2(NB),"P.J. KABOS 2025/26 Fresh Harvest, Extremely High Phenolic (900+ mg/kg), USDA Organic Greek Extra Virgin Olive Oil, Kosher, Cold Extracted, 16.9oz Glass Bottle, PJ KABOS “Family Reserve Organic - Phenolic Shot”",,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),17,PJ 푸어 매우(NB),"PJ KABOS Very High Phenolic (699 mg/kg), USDA Organic Greek Extra Virgin Olive Oil, Kosher, Greece, Cold Extracted, 16.9oz Bottle, Family Reserve Organic - Robust",,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),16,N°1 음주(NB),N°1 Drinking Extra Virgin Olive Oil - Italian Olive Oil from Italy 2026 Gold Awards Winner - 522 High Polyphenols evoo - 100% Unrefined and Cold pressed evoo for Drinking and Finishing Use,,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),18,청사진 브라이언 존슨(NB),"Blueprint Bryan Johnson Olive Oil – Snake Oil- High Polyphenol Extra Virgin Olive Oil (400+ mg/kg) – Cold Pressed, Early Harvest, First Cold Press EVOO – Keto, Paleo, Non-GMO – 750ml Glass Bottle",,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),23,모로코 골드 신규(NB),Morocco Gold New Harvest Olive Oil Extra Virgin - Polyphenol Rich 606mg/kg - Cold Pressed Olive Oil - Pure & 100% Natural with up to 4 Years Shelf-life - Fresh Harvest EVOO - (500ml (Pack of 1)),,,new_from_live_db_scan,1509.20-0000,high,엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
OLITALIA 엑스트라버진 올리브유,아마존  ·  (상위 40개 · PB 제외),24,일리아드 칼라마타 PDO(NB),"Iliada Kalamata PDO Extra Virgin Olive Oil, 3Lt | Multi-Awarded | Single Region 100% Greek | Monovarietal Koroneiki | Cold Press | Polyphenol Rich | Chef's Favorite",,,new_from_live_db_scan,1509.20-0000,high,Iliada Kalamata PDO 엑스트라버진 올리브유,관세청 2026 HSK,,researched_v2_direct,ok
